filename,width,height,class,xmin,ymin,xmax,ymax
IMG_0014.jpg,2048,2048,annies_snickerdoodle_cinnamon_sugar,700,187,1280,1654
IMG_0001.jpg,2048,2048,annies_snickerdoodle_cinnamon_sugar,407,299,1535,1772
IMG_0029.jpg,2048,2048,annies_snickerdoodle_cinnamon_sugar,492,119,1787,1902
IMG_0017.jpg,2048,2048,annies_snickerdoodle_cinnamon_sugar,635,132,1087,1817
IMG_0016.jpg,2048,2048,annies_snickerdoodle_cinnamon_sugar,410,219,1480,1722
IMG_0002.jpg,2048,2048,annies_snickerdoodle_cinnamon_sugar,412,307,1537,1774
IMG_0006.jpg,2048,2048,annies_snickerdoodle_cinnamon_sugar,855,174,1302,1812
IMG_0013.jpg,2048,2048,annies_snickerdoodle_cinnamon_sugar,247,759,1775,1464
IMG_0007.jpg,2048,2048,annies_snickerdoodle_cinnamon_sugar,827,159,1282,1807
IMG_0011.jpg,2048,2048,annies_snickerdoodle_cinnamon_sugar,307,754,1795,1467
IMG_0039.jpg,2048,2048,annies_snickerdoodle_cinnamon_sugar,315,57,1725,2002
IMG_0038.jpg,2048,2048,annies_snickerdoodle_cinnamon_sugar,310,77,1705,2004
IMG_0004.jpg,2048,2048,annies_snickerdoodle_cinnamon_sugar,457,329,1697,1942
IMG_0049.jpg,2048,2048,annies_snickerdoodle_cinnamon_sugar,635,54,1182,2027
IMG_0042.jpg,2048,2048,annies_snickerdoodle_cinnamon_sugar,42,717,1872,1407
IMG_0043.jpg,2048,2048,annies_snickerdoodle_cinnamon_sugar,12,699,1872,1402
IMG_0044.jpg,2048,2048,annies_snickerdoodle_cinnamon_sugar,57,614,1940,1294
IMG_0050.jpg,2048,2048,annies_snickerdoodle_cinnamon_sugar,667,27,1402,1834
IMG_0047.jpg,2048,2048,annies_snickerdoodle_cinnamon_sugar,295,79,1595,1917
IMG_0046.jpg,2048,2048,annies_snickerdoodle_cinnamon_sugar,10,612,1950,1317
IMG_0009.jpg,2048,2048,annies_snickerdoodle_cinnamon_sugar,525,277,1727,1812
IMG_0035.jpg,2048,2048,annies_snickerdoodle_cinnamon_sugar,352,144,1667,1929
IMG_0021.jpg,2048,2048,annies_snickerdoodle_cinnamon_sugar,817,229,1280,1517
IMG_0034.jpg,2048,2048,annies_snickerdoodle_cinnamon_sugar,650,1,1197,2037
IMG_0008.jpg,2048,2048,annies_snickerdoodle_cinnamon_sugar,530,339,1722,1857
IMG_0022.jpg,2048,2048,annies_snickerdoodle_cinnamon_sugar,247,684,1685,1194
IMG_0037.jpg,2048,2048,annies_snickerdoodle_cinnamon_sugar,365,179,1662,1919
IMG_0023.jpg,2048,2048,annies_snickerdoodle_cinnamon_sugar,230,682,1665,1194
IMG_0027.jpg,2048,2048,annies_snickerdoodle_cinnamon_sugar,502,212,1695,1889
IMG_0033.jpg,2048,2048,annies_snickerdoodle_cinnamon_sugar,655,1,1200,2037
IMG_0026.jpg,2048,2048,annies_snickerdoodle_cinnamon_sugar,347,697,1682,1207
IMG_0019.jpg,2048,2048,annies_snickerdoodle_cinnamon_sugar,982,164,1505,1839
IMG_0025.jpg,2048,2048,annies_snickerdoodle_cinnamon_sugar,360,744,1687,1252
IMG_0031.jpg,2048,2048,annies_snickerdoodle_cinnamon_sugar,457,112,1750,1889
